1555;"小龙记";"";0.0;0.0;"4853 Main St,Vancouver,";0;"";4.0;"1";"http://i2.s1.dpfile.com/pc/73849810a037029b90b32c2008b1cebb(249x249)/thumb.jpg";0.0;0;8.1;6.7;6.7;0;0
1556;"QQ Bubble Tea & Coffee";"";0.0;0.0;"8260 Westminster HWY,#2400号(近richmond center,公众市场2楼)";0;"";4.0;"0";"http://i3.s1.dpfile.com/pc/73d80cd5f686005823d281f162642938(249x249)/thumb.jpg";0.0;0;7.6;7.2;7.2;0;0
1557;"Audrey s Moment";"";0.0;0.0;"120B-6540 Burlington Ave,Burnaby";0;"";4.0;"0";"http://i2.s1.dpfile.com/pc/7984d1bd7dedfdcede51b86e12ad0069(249x249)/thumb.jpg";6.8;0;7.7;7.7;7.7;0;0
1558;"Secret Location";"";0.0;0.0;"One Water Street, Vancouver, British Columbia V6B 2H9, Canada(Carrall Street)";604;"";4.5;"0";"http://i1.s1.dpfile.com/pc/cfdc054fcd245ea9ed3e1dd5f1e1f23e(249x249)/thumb.jpg";0.0;0;0.0;0.0;0.0;0;0
1559;"Prospect Point Café";"";0.0;0.0;"Stanley Park Dr";0;"";4.0;"0";"http://i1.s1.dpfile.com/pc/6a2f7c9d2e0f4f3015c9f84ba7ab012d(249x249)/thumb.jpg";0.0;0;0.0;0.0;0.0;0;0
1560;"Suika";"";0.0;0.0;"1626 W Broadway Vancouver";0;"";4.0;"0";"http://i2.s1.dpfile.com/pc/d399db1cda9c378e926f62b604c112a6(249x249)/thumb.jpg";0.0;0;7.5;7.2;7.2;0;0
1561;"C Restaurant";"";0.0;0.0;"1600 Howe St";1;"";4.0;"0";"http://i2.s1.dpfile.com/pc/97e49854a3971e5c837bdec352372d98(249x249)/thumb.jpg";0.0;0;0.0;0.0;0.0;0;0
1562;"The Keg Steakhouse & Bar";"";0.0;0.0;"688 Dunsmuir Street | Downtown Vancouver, Vancouver, British Columbia V6B 1N3, Canada";604;"";4.0;"0";"http://i3.s1.dpfile.com/pc/4f87f6880932f83b32144bd8799e621e(249x249)/thumb.jpg";0.0;0;7.5;7.5;7.5;0;0
1563;"Templeton";"";0.0;0.0;"1087 Granville St.";1;"";4.5;"0";"http://i3.s1.dpfile.com/pc/84c0c068804bddce1c5c65f25ac110a0(249x249)/thumb.jpg";0.0;0;0.0;0.0;0.0;0;0
1564;"惠斯勒餐厅";"";0.0;0.0;"4222 Village Square, Whistler, BC V0N 1B4";1;"";0.0;"4";"http://i3.s1.dpfile.com/pc/f082135d3e6bcf29d593b68553ae405d(249x249)/thumb.jpg";0.0;0;0.0;0.0;0.0;0;0
1565;"Pear Tree";"";0.0;0.0;"4120 E Hastings St, Burnaby";1;"";4.0;"0";"http://i3.s1.dpfile.com/pc/491af34b7e58e6a537dead24b406729d(249x249)/thumb.jpg";0.0;0;0.0;0.0;0.0;0;0
1566;"Pourhouse";"";0.0;0.0;"162 Water St";1;"";4.0;"0";"http://i1.s1.dpfile.com/pc/cce631034cf19e7be25b5320a14e444a(249x249)/thumb.jpg";0.0;0;0.0;0.0;0.0;0;0
1567;"Santouka Japanese Ramen";"";0.0;0.0;"1690 Robson Street, Vancouver, BC, Canada";1;"";4.0;"0";"http://i1.s1.dpfile.com/pc/c8414231bf19c3ffade82a250774132b(249x249)/thumb.jpg";0.0;0;7.4;7.0;7.0;0;0
1568;"Crave";"";0.0;0.0;"3941 Main St";0;"";4.0;"0";"http://i1.s1.dpfile.com/pc/90ccfb174ebec8e61eb7b11d2d6deb8a(249x249)/thumb.jpg";0.0;0;0.0;0.0;0.0;0;0
1569;"Timbre";"";0.0;0.0;"2068 Commercial Dr";0;"";4.0;"0";"http://i3.s1.dpfile.com/pc/e317041315942d0ef6f49a8cc2561e11(249x249)/thumb.jpg";0.0;0;0.0;0.0;0.0;0;0
1570;"Naam";"";0.0;0.0;"2724 W 4th Ave";0;"";4.0;"0";"http://i1.s1.dpfile.com/pc/2cb9517bcd85b89b32cf2304b9600488(249x249)/thumb.jpg";0.0;0;0.0;0.0;0.0;0;0
1571;"Artisan Bake Shoppe";"";0.0;0.0;"127 Lonsdale Ave";0;"";4.0;"0";"http://i2.s1.dpfile.com/pc/a2fa5640f34ee9303c3379d324fec5cd(249x249)/thumb.jpg";0.0;0;0.0;0.0;0.0;0;0
1572;"Bob Likes Thai Food";"";0.0;0.0;"3755 Main St";0;"";4.0;"0";"http://i2.s1.dpfile.com/pc/27f33f47fa3016703c794276582ec438(249x249)/thumb.jpg";0.0;0;0.0;0.0;0.0;0;0
1573;"Terra Breads";"";0.0;0.0;"107- 1689Johnston Street,Vancouver,BC V6H 3R9";0;"";3.0;"0";"http://i3.s1.dpfile.com/pc/8793c96152ebd9412c4aa6bce0e4cf70(249x249)/thumb.jpg";0.0;0;6.8;6.4;6.4;0;0
1574;"鲑鱼屋";"";0.0;0.0;"229 Folkestone Way, West Vancouver, BC, Canada";1;"";0.0;"0";"http://i1.s1.dpfile.com/pc/5c5f8a7e383e3e4a8a3030c8f7174fb4(249x249)/thumb.jpg";0.0;0;0.0;0.0;0.0;0;0
1575;"dinesty";"";0.0;0.0;"robson St";0;"";4.0;"0";"http://i2.s1.dpfile.com/pc/ba1880ba3e38e85a26508dad60d5023f(249x249)/thumb.jpg";0.0;0;7.7;7.7;7.7;0;0
1576;"Bella Gelateria And Gelato";"";0.0;0.0;"1001 West Cordova Street,Vancouver,BC V6C0B7";0;"";4.0;"0";"http://i3.s1.dpfile.com/pc/33dbcbd615b3c5366a4eeaf34367f58d(249x249)/thumb.jpg";0.0;0;8.5;7.0;7.0;0;0
1577;"Gyo-O 魚王";"";0.0;0.0;"3779 Sexsmith Rd, Richmond";604;"";3.0;"6";"http://i2.s1.dpfile.com/pc/43881748e2f996457f1a4579e097d508(249x249)/thumb.jpg";0.0;0;6.9;6.8;6.8;0;0
1578;"Cactus Club Cafe";"";0.0;0.0;"588 Burrard St,Vancouver,BC";0;"";3.0;"4";"http://i2.s1.dpfile.com/pc/783898c350117486abe7a9735cba4f94(249x249)/thumb.jpg";0.0;0;6.5;7.5;7.5;0;0
1579;"老西安";"";0.0;0.0;"2010-8580 Alexandro Rd，Richmond";604;"";4.0;"0";"http://i1.s1.dpfile.com/pc/469129cf2ad339fbec65fee6c63fc52d(249x249)/thumb.jpg";0.0;0;8.2;8.0;8.0;0;0
1580;"颐东其他酒楼";"";0.0;0.0;"帝国中心，列治文";604;"";4.0;"0";"http://i2.s1.dpfile.com/pc/2419939b3cd55075c72715187cc0f54e(249x249)/thumb.jpg";0.0;0;7.6;7.5;7.5;0;0
1581;"Miku";"";0.0;0.0;"70-200 Granville St | Corner of Canada Way and Howe St, Vancouver, British Columbia V6C 2R6, Canada (Downtown)(Howe Street & Canada Place Way)";1;"";4.0;"0";"http://i1.s1.dpfile.com/pc/f16ec7f3b7d5f0b30f81bbe3091d6a72(249x249)/thumb.jpg";0.0;0;8.6;8.2;8.2;0;0
1582;"Thierry Chocolaterie Patisserie Cafe";"";0.0;0.0;"1059 Alberni Street, Vancouver";0;"";4.0;"4";"http://i3.s1.dpfile.com/pc/b400207f72c0ff4ee5282907cc12e31c(249x249)/thumb.jpg";0.0;0;7.6;8.0;8.0;0;0
1583;"Tojo s寿司店";"";0.0;0.0;"202-777 West Broadway";1;"";4.0;"6";"http://i3.s1.dpfile.com/pc/e0fddf125c8be62d02b3cd8c4dd4462f(249x249)/thumb.jpg";0.0;0;7.4;7.1;7.1;0;0
1584;"Hawksworth Restaurant";"";0.0;0.0;"801 W Georgia St, Vancouver";604;"";4.0;"4";"http://i1.s1.dpfile.com/pc/315c612bd0969fafe6cbb4335aa7239a(249x249)/thumb.jpg";0.0;0;8.3;8.4;8.4;0;0
